config,n,w,b,white_piece,black_piece,positions,quiet_positions,always_win_stm,always_win_white,quiet_always_win_stm,quiet_always_win_white,deepest_white,deepest_black,deepest_white_quiet,deepest_black_quiet,wtm_win,wtm_draw,wtm_loss,btm_win,btm_draw,btm_loss,wtm_win_pct,wtm_draw_pct,wtm_loss_pct,btm_win_pct,btm_draw_pct,btm_loss_pct,q_wtm_win,q_wtm_draw,q_wtm_loss,q_btm_win,q_btm_draw,q_btm_loss,q_wtm_win_pct,q_wtm_draw_pct,q_wtm_loss_pct,q_btm_win_pct,q_btm_draw_pct,q_btm_loss_pct,deepest_white_pos,deepest_white_quiet_pos
BBBBvB,3,4,1,bishop,bishop,630,121,0,0,0,0,3,0,3,0,573,57,0,373,257,0,90.952381,9.047619,0.000000,59.206349,40.793651,0.000000,64,57,0,64,57,0,52.892562,47.107438,0.000000,52.892562,47.107438,0.000000,"wBa1,wBb1,wBc1,wBb2,bBb3","wBa1,wBb1,wBc1,wBb2,bBb3"
BBBBvB,4,4,1,bishop,bishop,21840,6780,0,0,0,0,9,0,9,0,17584,4256,0,10416,11424,0,80.512821,19.487179,0.000000,47.692308,52.307692,0.000000,2524,4256,0,2524,4256,0,37.227139,62.772861,0.000000,37.227139,62.772861,0.000000,"wBa1,wBb1,wBc1,wBa2,bBd1","wBa1,wBb1,wBc1,wBa2,bBd1"
BBBBvB,5,4,1,bishop,bishop,265650,103820,0,0,0,0,11,0,11,0,196179,69471,0,99675,165975,0,73.848673,26.151327,0.000000,37.521174,62.478826,0.000000,34349,69471,0,30605,73215,0,33.085147,66.914853,0.000000,29.478906,70.521094,0.000000,"wBb1,wBc1,wBd1,wBa3,bBe1","wBb1,wBc1,wBd1,wBa3,bBe1"
BBBBvB,6,4,1,bishop,bishop,1884960,853600,0,0,0,0,9,0,9,0,1181364,703596,0,394848,1490112,0,62.673160,37.326840,0.000000,20.947288,79.052712,0.000000,150004,703596,0,121852,731748,0,17.573102,82.426898,0.000000,14.275070,85.724930,0.000000,"wBa1,wBb1,wBd1,wBa2,bBf1","wBa1,wBb1,wBd1,wBa2,bBf1"
BBBBvB,7,4,1,bishop,bishop,9534420,4797985,0,0,0,0,13,0,13,0,5635322,3899098,0,1970610,7563810,0,59.105032,40.894968,0.000000,20.668378,79.331622,0.000000,898887,3899098,0,804471,3993514,0,18.734677,81.265323,0.000000,16.766851,83.233149,0.000000,"wBa1,wBb1,wBc1,wBa3,bBg3","wBa1,wBb1,wBc1,wBa3,bBg3"
BBBBvB,8,4,1,bishop,bishop,38122560,20779040,0,0,0,0,15,0,15,0,18651200,19471360,0,2059592,36062968,0,48.924311,51.075689,0.000000,5.402554,94.597446,0.000000,1307680,19471360,0,514208,20264832,0,6.293265,93.706735,0.000000,2.474648,97.525352,0.000000,"wBh1,wBg2,wBb7,wBa8,bBe2","wBh1,wBg2,wBb7,wBa8,bBe2"
BBBBvB,9,4,1,bishop,bishop,128107980,74358056,0,0,0,0,17,0,17,0,57873486,70234494,0,6096014,122011966,0,45.175551,54.824449,0.000000,4.758497,95.241503,0.000000,4123562,70234494,0,2117898,72240158,0,5.545548,94.454452,0.000000,2.848243,97.151757,0.000000,"wBh1,wBg2,wBb7,wBa8,bBg4","wBh1,wBg2,wBb7,wBa8,bBg4"
BBBBvB,10,4,1,bishop,bishop,376437600,na,0,0,na,na,19,0,19,na,152492052,223945548,0,4534816,371902784,0,40.509251,59.490749,0.000000,1.204666,98.795334,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBa1,wBb2,wBc3,wBd4,bBh2","wBa1,wBb2,wBc3,wBd4,bBh2"
BBBBvB,11,4,1,bishop,bishop,993962970,na,0,0,na,na,19,0,19,na,373235825,620727145,0,8278185,985684785,0,37.550275,62.449725,0.000000,0.832846,99.167154,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBb1,wBc2,wBd3,wBe4,bBi2","wBb1,wBc2,wBd3,wBe4,bBi2"
BBBBvB,12,4,1,bishop,bishop,2405042640,na,0,0,na,na,21,0,21,na,841969192,1563073448,0,14252408,2390790232,0,35.008493,64.991507,0.000000,0.592605,99.407395,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBa1,wBb2,wBc3,wBd4,bBi1","wBa1,wBb2,wBc3,wBd4,bBi1"
BBBBvK,3,4,1,bishop,king,630,4,0,0,0,1,7,0,3,0,605,25,0,428,202,0,96.031746,3.968254,0.000000,67.936508,32.063492,0.000000,4,0,0,4,0,0,100.000000,0.000000,0.000000,100.000000,0.000000,0.000000,"wBa1,wBb2,wBc2,wBa3,bKa2","wBb1,wBc1,wBa2,wBa3,bKc3"
BBBBvK,4,4,1,bishop,king,21840,1908,0,0,0,0,7,0,7,0,20708,1132,0,16464,5376,0,94.816850,5.183150,0.000000,75.384615,24.615385,0.000000,1792,116,0,1792,116,0,93.920335,6.079665,0.000000,93.920335,6.079665,0.000000,"wBa1,wBb1,wBc1,wBb2,bKa4","wBa1,wBb1,wBc1,wBb2,bKa4"
BBBBvK,5,4,1,bishop,king,265650,49303,0,0,0,0,13,0,11,0,249714,15936,0,208648,57002,0,94.001129,5.998871,0.000000,78.542443,21.457557,0.000000,44504,4799,0,44504,4799,0,90.266312,9.733688,0.000000,90.266312,9.733688,0.000000,"wBb1,wBe2,wBa3,wBd3,bKb3","wBb1,wBc1,wBd1,wBa2,bKc3"
BBBBvK,6,4,1,bishop,king,1884960,519472,0,0,0,0,15,0,15,0,1762100,122860,0,1525920,359040,0,93.482090,6.517910,0.000000,80.952381,19.047619,0.000000,461636,57836,0,461636,57836,0,88.866387,11.133613,0.000000,88.866387,11.133613,0.000000,"wBc1,wBd1,wBd2,wBa3,bKd3","wBb1,wBd1,wBa3,wBf3,bKd4"
BBBBvK,7,4,1,bishop,king,9534420,3360028,0,0,0,0,19,0,17,0,8867051,667369,0,7856892,1677528,0,93.000424,6.999576,0.000000,82.405558,17.594442,0.000000,2962184,397844,0,2962184,397844,0,88.159503,11.840497,0.000000,88.159503,11.840497,0.000000,"wBd1,wBe2,wBa4,wBf4,bKe4","wBc1,wBd1,wBe1,wBd2,bKc5"
BBBBvK,8,4,1,bishop,king,38122560,15886504,0,0,0,0,21,0,21,0,35306912,2815648,0,31828320,6294240,0,92.614221,7.385779,0.000000,83.489461,16.510539,0.000000,13955552,1930952,0,13955552,1930952,0,87.845331,12.154669,0.000000,87.845331,12.154669,0.000000,"wBe1,wBe2,wBh2,wBa3,bKe3","wBd2,wBb3,wBh3,wBa4,bKe4"
BBBBvK,9,4,1,bishop,king,128107980,60287299,0,0,0,0,25,0,23,0,118192292,9915688,0,107905304,20202676,0,92.259898,7.740102,0.000000,84.229963,15.770037,0.000000,52842856,7444443,0,52842856,7444443,0,87.651722,12.348278,0.000000,87.651722,12.348278,0.000000,"wBe1,wBe2,wBa5,wBi5,bKe3","wBe1,wBd2,wBe2,wBa3,bKd4"
BBBBvK,10,4,1,bishop,king,376437600,na,0,0,na,na,27,0,25,na,346172288,30265312,0,319236960,57200640,0,91.960072,8.039928,0.000000,84.804749,15.195251,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBe1,wBf3,wBj4,wBa5,bKf4","wBd1,wBf1,wBg1,wBa4,bKe4"
BBBBvK,11,4,1,bishop,king,993962970,na,0,0,na,na,29,0,27,na,911331657,82631313,0,847130260,146832710,0,91.686681,8.313319,0.000000,85.227547,14.772453,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBg1,wBf2,wBa3,wBf3,bKf4","wBd1,wBe1,wBg1,wBd2,bKe5"
BBBBvK,12,4,1,bishop,king,2405042640,na,0,0,na,na,31,0,29,na,2199388180,205654460,0,2057937840,347104800,0,91.449031,8.550969,0.000000,85.567624,14.432376,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBf1,wBe2,wBg2,wBf4,bKf5","wBc1,wBe1,wBg1,wBh1,bKf6"
BBBBvN,3,4,1,bishop,knight,630,9,0,0,0,0,3,0,3,0,625,5,0,560,70,0,99.206349,0.793651,0.000000,88.888889,11.111111,0.000000,8,1,0,8,1,0,88.888889,11.111111,0.000000,88.888889,11.111111,0.000000,"wBa1,wBb1,wBc1,wBb2,bNb3","wBb1,wBc1,wBa2,wBa3,bNa1"
BBBBvN,4,4,1,bishop,knight,21840,1908,0,1,0,1,5,0,5,0,21840,0,0,21840,0,0,100.000000,0.000000,0.000000,100.000000,0.000000,0.000000,1908,0,0,1908,0,0,100.000000,0.000000,0.000000,100.000000,0.000000,0.000000,"wBa1,wBc1,wBd1,wBb2,bNb4","wBa1,wBc1,wBd1,wBb2,bNb4"
BBBBvN,5,4,1,bishop,knight,265650,44614,0,1,0,1,7,0,7,0,265650,0,0,265650,0,0,100.000000,0.000000,0.000000,100.000000,0.000000,0.000000,44614,0,0,44614,0,0,100.000000,0.000000,0.000000,100.000000,0.000000,0.000000,"wBa1,wBc1,wBe1,wBb2,bNd3","wBc1,wBa2,wBe2,wBc4,bNc5"
