n,king_pairs,entries_per_side,ram_bytes_2B_per_entry
3,5,45,90
4,21,336,672
5,63,1575,3150
6,135,4860,9720
7,270,13230,26460
8,462,29568,59136
9,770,62370,124740
10,1170,117000,234000
11,1755,212355,424710
12,2475,356400,712800
13,3465,585585,1171170
14,4641,909636,1819272
15,6188,1392300,2784600
16,7980,2042880,4085760
17,10260,2965140,5930280
18,12852,4164048,8328096
19,16065,5799465,11598930
20,19665,7866000,15732000
21,24035,10599435,21198870
22,28875,13975500,27951000
23,34650,18329850,36659700
24,40986,23607936,47215872
25,48438,30273750,60547500
26,56550,38227800,76455600
27,65975,48095775,96191550
28,76167,59714928,119429856
29,87885,73911285,147822570
30,100485,90436500,180873000
31,114840,110361240,220722480
32,130200,133324800,266649600
33,147560,160692840,321385680
34,166056,191960736,383921472
35,186813,228845925,457691850
36,208845,270663120,541326240
37,233415,319545135,639090270
38,259407,374583708,749167416
39,288230,438397830,876795660
40,318630,509808000,1019616000
41,352170,591997770,1183995540
42,387450,683461800,1366923600
43,426195,788034555,1576069110
44,466851,903823536,1807647072
45,511313,1035408825,2070817650
46,557865,1180442340,2360884680
47,608580,1344353220,2688706440
48,661572,1524261888,3048523776
49,719100,1726559100,3453118200
50,779100,1947750000,3895500000
51,844025,2195309025,4390618050
52,911625,2465034000,4930068000
53,984555,2765614995,5531229990
54,1060371,3092041836,6184083672
55,1141938,3454362450,6908724900
56,1226610,3846648960,7693297920
57,1317470,4280460030,8560920060
58,1411662,4748830968,9497661936
59,1512495,5264995095,10529990190
60,1616895,5820822000,11641644000
61,1728405,6431395005,12862790010
62,1843725,7087278900,14174557800
63,1966640,7805594160,15611188320
64,2093616,8575451136,17150902272
