n,king_pairs,placements_per_king_pair,entries_per_side,max_dtm_plies,mate_in,first_difference
3,5,36,180,1,1,
4,21,120,2520,17,9,8
5,63,300,18900,21,11,2
6,135,630,85050,25,13,2
7,270,1176,317520,31,16,3
8,462,2016,931392,37,19,3
9,770,3240,2494800,41,21,2
10,1170,4950,5791500,47,24,3
11,1755,7260,12741300,51,26,2
12,2475,10296,25482600,57,29,3
13,3465,14196,49189140,63,32,3
14,4641,19110,88689510,69,35,3
15,6188,25200,155937600,75,38,3
16,7980,32640,260467200,79,40,2
17,10260,41616,426980160,87,44,4
18,12852,52326,672493752,91,46,2
19,16065,64980,1043903700,97,49,3
20,19665,79800,1569267000,103,52,3
21,24035,97020,2331875700,109,55,3
22,28875,116886,3375083250,115,58,3
