n,wtm_legal,wtm_win,win_pct,max_win_ply,btm_legal,btm_loss,btm_loss_pct,stalemate_wins,on_border,in_corner,king_on_bishop_colour,in_check
3,96,92,95.833,1,124,92,74.194,100,100,80,0,0
4,2234,2234,100.000,9,3314,3290,99.276,388,388,300,0,0
5,18036,18036,100.000,13,25444,25444,100.000,888,888,640,0,0
6,102432,102432,100.000,19,141696,141696,100.000,1788,1788,1260,0,0
7,388420,388420,100.000,25,517704,440632,85.113,3036,3036,2064,0,0
8,1288950,1288950,100.000,31,1680474,1451808,86.393,4884,4884,3276,0,0
9,3463720,3463720,100.000,35,4403128,3885364,88.241,7216,7216,4736,0,0
10,8676592,8676592,100.000,43,10840304,9749246,89.935,10348,10348,6732,0,0
11,19082344,19082344,100.000,49,23416900,21360660,91.219,14100,14100,9040,0,0
12,40185554,40185554,100.000,57,48661170,44951296,92.376,18852,18852,12012,0,0
13,77459420,77459420,100.000,63,92555004,86317328,93.261,24360,24360,15360,0,0
14,144966288,144966288,100.000,71,171424464,161241478,94.060,31068,31068,19500,0,0
15,254446220,254446220,100.000,75,297814384,281986296,94.685,38668,38668,24080,0,0
16,437161326,437161326,100.000,85,507439226,483355888,95.254,47668,47668,29580,0,0
17,715394384,715394384,100.000,93,823672624,788332828,95.709,57696,57696,35584,0,0
