n,wtm_legal,wtm_win,win_pct,max_win_ply,btm_legal,btm_loss,btm_loss_pct,stalemate_wins,on_border,in_corner,king_on_bishop_colour,in_check
3,96,92,95.833,1,124,92,74.194,80,80,80,0,0
4,2234,2234,100.000,9,3314,3290,99.276,194,194,150,0,0
5,18036,18036,100.000,13,25444,25444,100.000,720,720,640,0,0
6,102432,102432,100.000,19,141696,141696,100.000,894,894,630,0,0
7,388420,388420,100.000,25,517704,440632,85.113,2448,2448,2064,0,0
8,1288950,1288950,100.000,31,1680474,1451808,86.393,2442,2442,1638,0,0
9,3463720,3463720,100.000,35,4403128,3885364,88.241,5792,5792,4736,0,0
10,8676592,8676592,100.000,43,10840304,9749246,89.935,5174,5174,3366,0,0
11,19082344,19082344,100.000,49,23416900,21360660,91.219,11280,11280,9040,0,0
12,40185554,40185554,100.000,57,48661170,44951296,92.376,9426,9426,6006,0,0
13,77459420,77459420,100.000,63,92555004,86317328,93.261,19440,19440,15360,0,0
14,144966288,144966288,100.000,71,171424464,161241478,94.060,15534,15534,9750,0,0
15,254446220,254446220,100.000,75,297814384,281986296,94.685,30800,30800,24080,0,0
16,437161326,437161326,100.000,85,507439226,483355888,95.254,23834,23834,14790,0,0
17,715394384,715394384,100.000,93,823672624,788332828,95.709,45888,45888,35584,0,0
