n,parity,king_pairs,placements_per_king_pair,entries_per_side,max_dtm_plies,mate_in
3,odd,5,81,405,13,7
4,even,21,256,5376,27,14
5,odd,63,625,39375,25,13
6,even,135,1296,174960,43,22
7,odd,270,2401,648270,41,21
8,even,462,4096,1892352,65,33
9,odd,770,6561,5051970,57,29
10,even,1170,10000,11700000,93,47
11,odd,1755,14641,25694955,77,39
12,even,2475,20736,51321600,127,64
13,odd,3465,28561,98963865,99,50
14,even,4641,38416,178288656,155,78
15,odd,6188,50625,313267500,125,63
16,even,7980,65536,522977280,185,93
17,odd,10260,83521,856925460,151,76
18,even,12852,104976,1349151552,223,112
19,odd,16065,130321,2093606865,179,90
21,odd,24035,194481,4674350835,209,105
