endgame,n,positions,wtm_white_wins,wtm_draws,wtm_black_wins,btm_white_wins,btm_draws,btm_black_wins,deepest_white_ply,deepest_black_ply,seconds
KKKvKK,3,1260,1260,0,0,576,672,12,7,5,0.00
KKKvKK,4,43680,43680,0,0,19340,23936,404,13,17,0.02
KKKvKK,5,531300,531300,0,0,259340,271960,0,29,0,0.36
KKKvKK,6,3769920,3769920,0,0,1996880,1773040,0,39,0,3.51
KKKvKK,7,19068840,19068840,0,0,10940216,8128624,0,49,0,40.02
KKKvKK,8,76245120,76245120,0,0,47211728,29033392,0,63,0,308.81
KKKvKK,9,256215960,256215960,0,0,169788944,86427016,0,83,0,1413.83
KKKvKK,10,752875200,752875200,0,0,528582560,224292640,0,101,0,1491.50
KKKvKK,11,1987925940,1987925940,0,0,1464643700,523282240,0,125,0,6476.65
KKKvK,8,2541504,2541504,0,0,2541504,0,0,31,0,1.24
KKKvK,9,6654960,6654960,0,0,6654960,0,0,37,0,4.75
KKKvK,10,15684900,15684900,0,0,15684900,0,0,47,0,15.66
KKKvK,11,33981640,33981640,0,0,33981640,0,0,55,0,52.14
KKKvK,12,68715504,68715504,0,0,68715504,0,0,65,0,125.45
KKKvK,13,131180504,131180504,0,0,131180504,0,0,73,0,292.71
KKKvK,14,238505540,238505540,0,0,238505540,0,0,81,0,539.18
KKKvK,15,415850400,415850400,0,0,378730660,37119740,0,91,0,670.70
KKKvK,16,699170560,699170560,0,0,643403884,55766676,0,103,0,1129.83
KKKvK,17,1138641504,1138641504,0,0,1057080416,81561088,0,119,0,2548.90
KKvKK,3,756,538,216,2,2,216,538,5,5,0.00
KKvKK,4,10920,6030,4852,38,38,4852,6030,17,17,0.01
KKvKK,5,75900,36954,38946,0,0,38946,36954,19,19,0.04
KKvKK,6,353430,151090,202340,0,0,202340,151090,23,23,0.18
KKvKK,7,1271256,466746,804510,0,0,804510,466746,29,29,0.59
KKvKK,8,3812256,1193538,2618718,0,0,2618718,1193538,35,35,1.74
KKvKK,9,9982440,2668282,7314158,0,0,7314158,2668282,47,47,6.50
KKvKK,10,23527350,5396754,18130596,0,0,18130596,5396754,57,57,19.93
KKvKK,11,50972460,10101210,40871250,0,0,40871250,10101210,71,71,62.46
KKvKK,12,103073256,17773666,85299590,0,0,85299590,17773666,83,83,145.47
KKvKK,13,196770756,29734938,167035818,0,0,167035818,29734938,101,101,308.20
KKvKK,14,357758310,47699442,310058868,0,0,310058868,47699442,125,125,739.58
KKvKK,15,623775600,203232,623572368,0,0,623572368,203232,73,73,943.63
KKvKK,16,1048755840,198748,1048557092,0,0,1048557092,198748,73,73,1687.98
KKvKK,17,1707962256,195816,1707766440,0,0,1707766440,195816,73,73,2562.72
KKvK,3,252,252,0,0,164,88,0,3,0,0.00
KKvK,4,1680,1680,0,0,1008,672,0,9,0,0.00
KKvK,5,6900,6900,0,0,4548,2352,0,17,0,0.00
KKvK,6,21420,21420,0,0,15500,5920,0,21,0,0.01
KKvK,7,55272,55272,0,0,42912,12360,0,27,0,0.02
KKvK,8,124992,124992,0,0,102144,22848,0,33,0,0.05
KKvK,9,255960,255960,0,0,217208,38752,0,45,0,0.13
KKvK,10,485100,485100,0,0,423468,61632,0,55,0,0.29
KKvK,11,863940,863940,0,0,770700,93240,0,69,0,0.72
KKvK,12,1462032,1462032,0,0,1326512,135520,0,81,0,1.32
KKvK,13,2370732,2370732,0,0,2180124,190608,0,99,0,2.19
KKvK,14,3707340,3707340,0,0,3446508,260832,0,123,0,3.80
KKvK,15,5619600,392748,5226852,0,14072,5605528,0,73,0,3.76
KKvK,16,8290560,501152,7789408,0,13772,8276788,0,73,0,6.18
KKvK,17,11943792,633180,11310612,0,13576,11930216,0,73,0,10.15
KKvK,18,16848972,792368,16056604,0,13588,16835384,0,73,0,15.58
KKvK,19,23327820,981432,22346388,0,13616,23314204,0,73,0,22.93
KKvK,20,31760400,1203720,30556680,0,13644,31746756,0,73,0,36.49
