n,legal_wtm,wtm_win,wtm_draw,win_pct,stalemate_loss,max_win_ply,max_win_moves
3,176,136,40,77.272727,24,7,4
4,1784,1764,20,98.878924,40,23,12
5,8888,8792,96,98.919892,40,33,17
6,30992,30824,168,99.457925,40,65,33
7,86264,3180,83084,3.686358,40,29,15
8,205496,2844,202652,1.383969,40,27,14
9,436784,2884,433900,0.660281,40,27,14
10,850928,2900,848028,0.340804,40,27,14
11,1547552,2900,1544652,0.187393,40,27,14
12,2661944,2900,2659044,0.108943,40,27,14
13,4372616,2900,4369716,0.066322,40,27,14
14,6909584,2900,6906684,0.041971,40,27,14
15,10563368,2900,10560468,0.027453,40,27,14
16,15694712,2900,15691812,0.018478,40,27,14
