n,rule,legal_wtm,wtm_win,wtm_draw,win_pct,btm_loss,mate,stalemate_draw,stalemate_loss,max_win_ply,max_win_moves
3,chess,400,16,384,4.0,36,32,120,0,1,1
4,chess,9348,120,9228,1.283697,56,56,600,0,1,1
5,chess,82628,304,82324,0.367914,72,72,1216,0,1,1
6,chess,447832,408,447424,0.091106,88,88,1984,0,1,1
7,chess,1784340,512,1783828,0.028694,104,104,2868,0,1,1
8,chess,5749652,616,5749036,0.010714,120,120,3864,0,1,1
9,chess,15862828,720,15862108,0.004539,136,136,4972,0,1,1
10,chess,38876088,824,38875264,0.00212,152,152,6192,0,1,1
11,chess,86785772,928,86784844,0.001069,168,168,7524,0,1,1
12,chess,179654020,1032,179652988,0.000574,184,184,8968,0,1,1
13,chess,349432692,1136,349431556,0.000325,200,200,10524,0,1,1
14,chess,645001208,1240,644999968,0.000192,216,216,12192,0,1,1
15,chess,1138650148,1344,1138648804,0.000118,232,232,13972,0,1,1
16,chess,1934262612,1448,1934261164,7.5e-05,248,248,15864,0,1,1
3,capture,400,392,8,98.0,568,32,0,120,7,4
4,capture,9348,9348,0,100.0,14076,56,0,600,15,8
5,capture,82628,82628,0,100.0,114744,72,0,1216,25,13
6,capture,447832,447832,0,100.0,582248,88,0,1984,57,29
7,capture,1784340,1768732,15608,99.125279,1714764,104,0,2868,43,22
8,capture,5749652,5713976,35676,99.37951,5557748,120,0,3864,51,26
9,capture,15862828,15795232,67596,99.573872,15452168,136,0,4972,61,31
10,capture,38876088,38761084,115004,99.704178,38103128,152,0,6192,75,38
11,capture,86785772,86603904,181868,99.79044,85449056,168,0,7524,91,46
12,capture,179654020,179381448,272572,99.848279,177480596,184,0,8968,111,56
13,capture,349432692,349040728,391964,99.887828,346062944,200,0,10524,151,76
14,capture,645001208,644455884,545324,99.915454,639972344,216,0,12192,219,110
15,capture,1138650148,5162568,1133487580,0.453394,1516268,232,0,13972,97,49
16,capture,1934262612,5461920,1928800692,0.282377,1578080,248,0,15864,95,48
