n,king_pairs,entries_per_side,wtm_legal,wtm_win,wtm_draw,btm_legal,btm_loss,btm_draw,mate,stalemate,en_prise,cls_wtm_win,cls_btm_loss,cls_mate,max_win_ply,wins_formula,mates_formula
3,5,180,400,16,384,672,36,636,32,120,232,2,5,4,1,96,40
4,21,2520,9348,120,9228,14196,56,14140,56,600,5108,15,7,7,1,200,56
5,63,18900,82628,304,82324,115368,72,115296,72,1216,35504,38,9,9,1,304,72
6,135,85050,447832,408,447424,583440,88,583352,88,1984,148348,51,11,11,1,408,88
7,270,317520,1784340,512,1783828,2205240,104,2205136,104,2868,461432,64,13,13,1,512,104
8,462,931392,5749652,616,5749036,6830292,120,6830172,120,3864,1183556,77,15,15,1,616,120
9,770,2494800,15862828,720,15862108,18288816,136,18288680,136,4972,2650528,90,17,17,1,720,136
10,1170,5791500,38876088,824,38875264,43803648,152,43803496,152,6192,5366924,103,19,19,1,824,152
11,1755,12741300,86785772,928,86784844,96047280,168,96047112,168,7524,10053608,116,21,21,1,928,168
12,2475,25482600,179654020,1032,179652988,196015380,184,196015196,184,8968,17701012,129,23,23,1,1032,184
13,3465,49189140,349432692,1136,349431556,376908312,200,376908112,200,10524,29628176,142,25,25,1,1136,200
14,4641,88689510,645001208,1240,644999968,689232336,216,689232120,216,12192,47547548,155,27,27,1,1240,216
15,6188,155937600,1138650148,1344,1138648804,1207352328,232,1207352096,232,13972,73635544,168,29,29,1,1344,232
16,7980,260467200,1934262612,1448,1934261164,2037748020,248,2037747772,248,15864,110608868,181,31,31,1,1448,248
