n,wtm_win,wtm_draw,draw_pct,max_win_ply,draw_loose,draw_loose_pct,draw_guarded,draw_guarded_pct,draw_quiet,draw_quiet_pct,win_loose,win_loose_pct,win_guarded,win_guarded_pct,win_quiet,win_quiet_pct,deepest_position
3,64,416,86.667,1,168,40.4,248,59.6,0,0.0,0,0.0,56,87.5,8,12.5,wK=a1 wN1=b1 wN2=a3 wN3=c3 bK=c1
4,26684,3004,10.119,19,2680,89.2,240,8.0,84,2.8,9288,34.8,11184,41.9,6212,23.3,wK=a1 wN1=c1 wN2=a4 wN3=c4 bK=c2
5,464060,23216,4.764,19,23040,99.2,144,0.6,32,0.1,163124,35.2,111992,24.1,188944,40.7,wK=a1 wN1=b1 wN2=e2 wN3=e3 bK=e1
6,4058156,121372,2.904,31,120956,99.7,144,0.1,272,0.2,1286604,31.7,589064,14.5,2182488,53.8,wK=a1 wN1=e1 wN2=a4 wN3=f6 bK=d2
7,23605308,454992,1.891,35,445324,97.9,128,0.0,9540,2.1,6499776,27.5,2128168,9.0,14977364,63.4,wK=a1 wN1=b1 wN2=a2 wN3=f6 bK=e5
8,104116284,1342972,1.273,41,1274044,94.9,128,0.0,68800,5.1,24589660,23.6,6038088,5.8,73488536,70.6,wK=a1 wN1=b1 wN2=g1 wN3=a2 bK=f2
9,375731528,3325180,0.877,49,3071772,92.4,128,0.0,253280,7.6,75967880,20.2,14522472,3.9,285241176,75.9,wK=a1 wN1=b1 wN2=h1 wN3=a2 bK=g2
10,1164446876,7223020,0.616,57,6545668,90.6,128,0.0,677224,9.4,202253316,17.4,30997528,2.7,931196032,80.0,wK=a1 wN1=b1 wN2=i1 wN3=a2 bK=h2
11,3202419096,14233372,0.442,65,12721060,89.4,128,0.0,1512184,10.6,480637240,15.0,60455880,1.9,2661325976,83.1,wK=a1 wN1=b1 wN2=j1 wN3=a2 bK=i2
12,7998968276,26013604,0.324,71,23020092,88.5,128,0.0,2993384,11.5,1044388508,13.1,109876488,1.4,6844703280,85.6,wK=a1 wN1=b1 wN2=i1 wN3=a2 bK=h2
