n,king_pairs,placements,entries_per_side,cls_wtm_legal,cls_wtm_win,cls_wtm_draw,cls_btm_legal,cls_btm_loss,cls_btm_draw,cls_mate,cls_stalemate,cls_en_prise,wtm_legal,wtm_win,wtm_draw,btm_legal,btm_loss,btm_draw,mate,stalemate,en_prise,max_win_ply,max_win_moves,draw_pct,seconds,deepest_position
3,5,84,420,62,8,54,143,26,117,21,31,51,480,64,416,1120,204,916,168,240,400,1,1,86.6667,0.0,wK=a1 wN1=b1 wN2=a3 wN3=c3 bK=c1
4,21,560,11760,3725,3346,379,7116,3572,3544,138,556,2797,29688,26684,3004,56784,28516,28268,1104,4424,22324,19,10,10.1186,0.0,wK=a1 wN1=c1 wN2=a4 wN3=c4 bK=c2
5,63,2300,144900,61055,58131,2924,101133,60093,41040,342,2239,36353,487276,464060,23216,807576,479924,327652,2736,17832,290296,19,10,4.7644,0.02,wK=a1 wN1=b1 wN2=e2 wN3=e3 bK=e1
6,135,7140,963900,522717,507508,15209,778240,508471,269769,639,5913,243514,4179528,4058156,121372,6223360,4066352,2157008,5112,47248,1947204,31,16,2.904,0.09,wK=a1 wN1=e1 wN2=a4 wN3=f6 bK=d2
7,270,18424,4974480,3009055,2952061,56994,4136550,2916692,1219858,1016,12236,1109354,24060300,23605308,454992,33078600,23325044,9753556,8128,97700,8870344,35,18,1.891,0.37,wK=a1 wN1=b1 wN2=a2 wN3=f6 bK=e5
8,462,41664,19248768,13184213,13016162,168051,17077704,12806575,4271129,1483,21994,3910412,105459256,104116284,1342972,136605840,102442800,34163040,11864,175864,31278460,41,21,1.2735,1.47,wK=a1 wN1=b1 wN2=g1 wN3=a2 bK=f2
9,770,85320,65696400,47389526,46973503,416023,58684654,46227878,12456776,2052,36213,11500295,379056708,375731528,3325180,469412944,369779272,99633672,16416,289420,91984344,49,25,0.8772,4.64,wK=a1 wN1=b1 wN2=h1 wN3=a2 bK=g2
10,1170,161700,189189000,146465801,145562411,903390,175222080,143506674,31715406,2735,55879,29540794,1171669896,1164446876,7223020,1401716736,1148012624,253704112,21880,446912,236310676,57,29,0.6165,13.84,wK=a1 wN1=b1 wN2=i1 wN3=a2 bK=h2
11,1755,287980,505404900,402106304,400326261,1780043,468256545,395470493,72786052,3544,82266,68362364,3216652468,3202419096,14233372,3745843920,3163611832,582232088,28352,657748,546848584,65,33,0.4425,38.19,wK=a1 wN1=b1 wN2=j1 wN3=a2 bK=i2
12,2475,487344,1206176400,1003143325,999890519,3252806,1143444500,989617232,153827268,4491,116544,145554796,8024981880,7998968276,26013604,9147384400,7916812776,1230571624,35928,932200,1164399564,71,36,0.3242,95.13,wK=a1 wN1=b1 wN2=i1 wN3=a2 bK=h2
13,3465,790244,2738195460,2312880481,2307279911,5600570,2591312163,2287231912,304080251,5588,160235,289589549,18502523196,18457732040,44791156,20729957160,18297440648,2432516512,44704,1281404,2316602680,81,41,0.2421,351.41,wK=a1 wN1=b1 wN2=l1 wN3=a2 bK=k2
14,4641,1235780,5735254980,4991189285,4982002829,9186456,5513909856,4945323840,568586016,6847,214693,544498922,39929117128,39855641724,73475404,44110869504,39562277008,4548592496,54776,1717360,4355910244,89,45,0.184,2914.64,wK=a1 wN1=b1 wN2=l1 wN3=a2 bK=k2
