n,entries_per_side,white_wins,draws,white_loses,max_win_ply,max_win_moves,max_loss_ply,seconds,deepest_position,stalemate_loss_black,stalemate_loss_white
3,405,42,0,1,5,3,4,0.0,wK a1 wQ a3 bK c2 bB c1,2,0
4,5376,1401,16,2,9,5,4,0.0,wK a1 wQ a4 bK c1 bB b2,4,0
5,39375,14172,104,11,17,9,26,0.02,wK a1 wQ e5 bK c3 bB d4,6,0
6,174960,81725,382,66,21,11,42,0.05,wK a1 wQ e1 bK c2 bB b2,8,0
7,648270,337748,1345,5,27,14,4,0.14,wK a1 wQ f7 bK c2 bB e5,10,0
8,1892352,1115781,3429,6,31,16,4,0.49,wK a1 wQ a2 bK d3 bB d4,12,0
9,5051970,3138716,7735,7,35,18,4,1.61,wK a1 wQ h8 bK c3 bB d4,14,0
10,11700000,7814658,15892,8,41,21,4,4.11,wK a1 wQ i3 bK e5 bB f6,16,0
11,25694955,17683490,30322,9,45,23,4,9.84,wK a1 wQ a9 bK d3 bB f6,18,0
12,51321600,37038965,54466,10,49,25,4,21.87,wK a1 wQ c1 bK e4 bB e5,20,0
13,98963865,72799312,93046,11,55,28,4,45.9,wK a1 wQ m13 bK e5 bB f6,22,0
14,178288656,135633351,152352,12,59,30,4,90.59,wK a1 wQ c1 bK e4 bB g7,24,0
15,313267500,241465252,240563,13,63,32,4,186.88,wK a1 wQ c1 bK f5 bB f6,26,0
16,522977280,413319585,368095,14,69,35,4,339.73,wK a1 wQ o1 bK g6 bB i9,28,0
17,856925460,683714248,547981,15,73,37,4,630.29,wK a1 wQ c1 bK g6 bB f6,30,0
