n,entries_per_side,white_wins,draws,white_loses,max_win_ply,max_win_moves,max_loss_ply,seconds,deepest_position
3,405,42,1,0,5,3,0,0.0,wK a1 wQ a3 bK c2 bB c1
4,5376,1396,23,0,11,6,0,0.0,wK a1 wQ a3 bK c2 bB c1
5,39375,14163,124,0,17,9,0,0.02,wK a1 wQ e3 bK c2 bB d3
6,174960,81711,462,0,23,12,0,0.05,wK a1 wQ e5 bK c3 bB d4
7,648270,337728,1370,0,27,14,0,0.15,wK a1 wQ f1 bK c2 bB d4
8,1892352,1115754,3462,0,33,17,0,0.46,wK a1 wQ g7 bK d4 bB e5
9,5051970,3138681,7777,0,37,19,0,1.29,wK a1 wQ i1 bK d4 bB e5
10,11700000,7814614,15944,0,41,21,0,3.43,wK a1 wQ c1 bK d3 bB e5
11,25694955,17683436,30385,0,47,24,0,8.3,wK a1 wQ i9 bK f6 bB g7
12,51321600,37038900,54541,0,51,26,0,18.9,wK a1 wQ c1 bK e4 bB e5
13,98963865,72799235,93134,0,55,28,0,40.24,wK a1 wQ c1 bK e4 bB e5
14,178288656,135633261,152454,0,61,31,0,84.57,wK a1 wQ m13 bK e5 bB f6
15,313267500,241465148,240680,0,65,33,0,164.42,wK a1 wQ d2 bK f5 bB h8
16,522977280,413319466,368228,0,69,35,0,340.93,wK a1 wQ c1 bK f5 bB f6
17,856925460,683714113,548131,0,73,37,0,610.65,wK a1 wQ c1 bK f5 bB h8
