n,king_triples,entries_per_side,wtm_white_wins,wtm_draws,wtm_black_wins,btm_black_wins,btm_draws,btm_white_wins,quiet_wtm_white_wins,quiet_wtm_draws,quiet_wtm_black_wins,quiet_btm_black_wins,quiet_btm_draws,quiet_btm_white_wins,max_white_ply,max_white_moves,max_black_ply,max_black_moves,kvkk_black_wins,kvkk_live,kvkk_deepest_ply,kvkk_wtm_black_wins,kvkk_wtm_draws,kqk_white_wins,kqk_live,kqk_deepest_ply,kqk_btm_white_wins,kqk_btm_draws,kqk_btm_black_wins,seconds,deepest_white_position,deepest_black_position
3,38,342,992,232,288,1388,112,12,0,8,0,0,8,0,7,4,5,3,252,252,3,164,88,504,504,3,168,56,280,0.00,wK a1 wQ a3 bK c2 bK c3,wK a1 wQ c3 bK c1 bK b3
4,219,3504,14116,6284,1440,17008,4464,368,232,940,12,64,1044,76,11,6,11,6,1680,1680,9,1008,672,3360,3360,7,1608,576,1176,0.01,wK a1 wQ d4 bK c1 bK a3,wK a1 wQ d1 bK c1 bK a4
5,904,22600,105484,42412,3904,97132,44252,10416,6620,12580,0,232,16068,2900,17,9,19,10,6900,6900,17,4548,2352,13800,13800,9,8328,2160,3312,0.04,wK b1 wQ a1 bK e1 bK b3,wK c1 wQ e1 bK a1 bK e2
6,2715,97740,525912,173220,7728,367768,236896,102196,68864,73424,24,808,104468,37036,19,10,23,12,21420,21420,21,15500,5920,42840,42840,11,29760,5600,7480,0.20,wK a1 wQ b6 bK c1 bK d5,wK c1 wQ f1 bK a1 bK e1
7,7038,344862,1988556,540964,12992,1079412,877040,586060,403100,285228,48,1888,436264,250224,23,12,29,15,55272,55272,27,42912,12360,110544,110544,15,84000,11880,14664,0.82,wK c1 wQ a2 bK f1 bK c3,wK b1 wQ g1 bK f1 bK g7
8,15722,1006208,6185496,1419192,19824,2667848,2567568,2389096,1670492,863852,48,3424,1393452,1137516,25,13,35,18,124992,124992,33,102144,22848,249984,249984,17,201768,22176,26040,2.31,wK a1 wQ a2 bK c1 bK e5,wK a1 wQ h1 bK g1 bK a8
9,32288,2615328,16656076,3280364,28440,5826596,6376176,7762108,5508988,2204092,56,5576,3697296,4010264,29,15,47,24,255960,255960,45,217208,38752,511920,511920,21,431088,37856,42976,6.52,wK c1 wQ a3 bK i1 bK e2,wK c1 wQ i1 bK a1 bK h1
10,60840,6084000,40145972,6869736,38992,11589648,14027744,21437308,15439724,4950716,56,8328,8560900,11821268,31,16,57,29,485100,485100,55,423468,61632,970200,970200,23,842688,60480,67032,15.71,wK a1 wQ j2 bK c1 bK a4,wK c1 wQ j1 bK a1 bK i1
11,108550,13134550,88576840,13316416,51664,21427028,28125344,52392548,38251936,10106736,64,11848,17893840,30453048,35,18,71,36,863940,863940,69,770700,93240,1727880,1727880,27,1536120,91800,99960,36.87,wK a1 wQ j11 bK d1 bK c5,wK c1 wQ k1 bK a1 bK j1
12,183117,26368848,181847476,24232428,66608,37350968,52389680,116405864,86069448,19129672,64,16136,34506284,70676764,37,19,83,42,1462032,1462032,81,1326512,135520,2924064,2924064,29,2646600,133760,143704,72.68,wK a1 wQ a12 bK c1 bK j8,wK c1 wQ l1 bK a1 bK k1
13,297288,50241672,351606820,41850692,84000,62034324,91930936,239576252,179223604,34066732,64,21304,62350352,150918744,41,21,101,51,2370732,2370732,99,2180124,190608,4741464,4741464,33,4352568,188496,200400,148.59,wK a1 wQ f13 bK d1 bK e5,wK c1 wQ m1 bK a1 bK l1
