n,king_triples,entries_per_side,wtm_legal,wtm_win,wtm_draw,btm_legal,btm_loss,btm_draw,mate,stalemate,single_mate,en_prise,cls_wtm_legal,cls_wtm_win,cls_wtm_draw,cls_btm_legal,cls_btm_loss,cls_btm_draw,cls_mate,cls_stalemate,cls_single_mate,cls_en_prise,max_win_ply,max_win_moves,seconds,deepest_position
3,8,72,160,160,0,312,184,128,56,24,24,104,20,20,0,42,25,17,9,3,3,14,1,1,0.00,wK a1 wQ a2 bK c1 bK c2
4,93,1488,6228,780,5448,9204,224,8980,44,24,24,3908,783,99,684,1163,32,1131,7,3,3,491,13,7,0.00,wK a1 wQ a2 bK c1 bK a4
5,521,13025,67544,304,67240,87384,40,87344,32,24,24,31152,8488,38,8450,11008,6,11002,5,3,3,3909,3,2,0.00,wK b2 wQ e3 bK d1 bK e1
6,1845,66420,399672,384,399288,480480,40,480440,32,24,24,137852,50029,48,49981,60173,6,60167,5,3,3,17250,3,2,0.00,wK c2 wQ f3 bK e1 bK f1
7,5282,258818,1662040,464,1661576,1909920,40,1909880,32,24,24,440600,208088,58,208030,239227,6,239221,5,3,3,55152,3,2,0.01,wK d2 wQ a3 bK a1 bK b1
8,12600,806400,5481620,544,5481076,6112932,40,6112892,32,24,24,1146804,685542,68,685474,764586,6,764580,5,3,3,143421,3,2,0.02,wK d2 wQ a3 bK a1 bK b1
9,27059,2191779,15333040,624,15332416,16742544,40,16742504,32,24,24,2590688,1917868,78,1917790,2094459,6,2094453,5,3,3,324071,3,2,0.05,wK d2 wQ a3 bK a1 bK b1
10,52686,5268600,37906792,704,37906088,40758624,40,40758584,32,24,24,5275052,4739393,88,4739305,5096174,6,5096168,5,3,3,659564,3,2,0.11,wK d2 wQ a3 bK a1 bK b1
11,96284,11650364,85115912,784,85115128,90461160,40,90461120,32,24,24,9918792,10642799,98,10642701,11311816,6,11311810,5,3,3,1240386,3,2,0.24,wK d2 wQ a3 bK a1 bK b1
12,165495,23831280,176913556,864,176912692,186337140,40,186337100,32,24,24,17510180,22116697,108,22116589,23295245,6,23295239,5,3,3,2189151,3,2,0.45,wK d2 wQ a3 bK a1 bK b1
13,272573,46064837,345111656,944,345110712,360912552,40,360912512,32,24,24,29365904,43146232,118,43146114,45122962,6,45122956,5,3,3,3671769,3,2,1.49,wK d2 wQ a3 bK a1 bK b1
14,430443,84366828,638413976,1024,638412952,663821184,40,663821144,32,24,24,47195868,79806869,128,79806741,82983843,6,82983837,5,3,3,5900166,3,2,1.99,wK d2 wQ a3 bK a1 bK b1
15,659126,148303350,1128893432,1104,1128892328,1168322064,40,1168322024,32,24,24,73173752,141125714,138,141125576,146057073,6,146057067,5,3,3,9148484,3,2,2.67,wK d2 wQ a3 bK a1 bK b1
16,978810,250575360,1920168020,1184,1920166836,1979517540,40,1979517500,32,24,24,110013332,240030400,148,240030252,247450868,6,247450862,5,3,3,13752785,3,2,4.64,wK d2 wQ a3 bK a1 bK b1
17,1420007,410382023,3157544768,1264,3157543504,3244544160,40,3244544120,32,24,24,161050560,394717764,158,394717606,405597157,6,405597151,5,3,3,20134107,3,2,7.68,wK d2 wQ a3 bK a1 bK b1
