n,king_triples,entries_per_side,wtm_legal,wtm_win,wtm_draw,btm_legal,btm_loss,btm_draw,mate,stalemate,single_mate,en_prise,cls_wtm_legal,cls_wtm_win,cls_wtm_draw,cls_btm_legal,cls_btm_loss,cls_btm_draw,cls_mate,cls_stalemate,cls_single_mate,cls_en_prise,max_win_ply,max_win_moves,seconds,deepest_position
3,8,72,8,8,0,312,128,184,104,80,72,104,1,1,0,42,18,24,15,10,9,14,1,1,0.00,wK a1 wQ a2 bK c1 bK c3
4,93,1488,1184,1184,0,9204,4428,4776,1036,868,676,3908,152,152,0,1163,561,602,135,111,85,491,7,4,0.00,wK a1 wQ b2 bK d3 bK c4
5,521,13025,19200,19200,0,87384,52192,35192,6880,4040,3488,31152,2438,2438,0,11008,6581,4427,887,518,441,3909,7,4,0.00,wK a1 wQ b5 bK e1 bK d2
6,1845,66420,142312,142312,0,480480,329560,150920,31500,13068,12472,137852,17846,17846,0,60173,41281,18892,3967,1642,1566,17250,9,5,0.01,wK a1 wQ a3 bK d2 bK f2
7,5282,258818,688376,688376,0,1909920,1431728,478192,109072,37592,36736,440600,86310,86310,0,239227,179341,59886,13739,4734,4625,55152,11,6,0.03,wK a1 wQ c7 bK e3 bK f3
8,12600,806400,2534392,2534392,0,6112932,4871504,1241428,307604,94624,93508,1146804,317061,317061,0,764586,609300,155286,38540,11865,11723,143421,13,7,0.08,wK a1 wQ d1 bK f5 bK f6
9,27059,2191779,7713136,7713136,0,16742544,13938512,2804032,746024,213344,211944,2590688,965079,965079,0,2094459,1743586,350873,93531,26802,26624,324071,15,8,0.25,wK a1 wQ b1 bK f6 bK g7
10,52686,5268600,20390496,20390496,0,40758624,35044184,5714440,1614212,439388,437680,5275052,2549590,2549590,0,5096174,4381568,714606,201987,55042,54825,659564,15,8,0.51,wK a1 wQ b9 bK h4 bK g5
11,96284,11650364,48358736,48358736,0,90461160,79702232,10758928,3196800,840136,838096,9918792,6047276,6047276,0,11311816,9966030,1345786,400204,105400,105141,1240386,17,9,1.33,wK a1 wQ f1 bK h7 bK h8
12,165495,23831280,105199184,105199184,0,186337140,167316264,19020876,5899676,1510696,1508300,17510180,13151718,13151718,0,23295245,20916956,2378289,737885,189138,188834,2189151,17,9,2.48,wK a1 wQ h12 bK i3 bK i5
13,272573,46064837,213290400,213290400,0,360912552,328966040,31946512,10280528,2580608,2577832,29365904,26666540,26666540,0,45122962,41127723,3995239,1286223,323470,323118,3671769,19,10,5.32,wK a1 wQ c11 bK j5 bK i6
14,430443,84366828,407855064,407855064,0,663821184,612404048,51417136,17081788,4221268,4218088,47195868,50985542,50985542,0,82983843,76555370,6428473,2135999,528307,527904,5900166,21,11,8.76,wK a1 wQ a8 bK i9 bK j9
15,659126,148303350,742262600,742262600,0,1168322064,1088494240,79827824,27267952,6654072,6650464,73173752,92792778,92792778,0,146057073,136075019,9982054,3410521,833570,833113,9148484,21,11,17.67,wK a1 wQ j15 bK k4 bK k6
16,978810,250575360,1294820392,1294820392,0,1979517540,1859344928,120172612,42064932,10159280,10155220,110013332,161859171,161859171,0,247450868,232426932,15023936,5259426,1271151,1270637,13752785,23,12,28.30,wK a1 wQ c14 bK l6 bK k7
17,1420007,410382023,2177311696,2177311696,0,3244544160,3068408000,176136160,63004184,15085600,15081064,161050560,272181245,272181245,0,405597157,383574040,22023117,7878843,1889010,1888436,20134107,25,13,49.59,wK a1 wQ a2 bK l10 bK l11
