n,entries_per_side,white_wins,draws,white_loses,max_win_ply,max_win_moves,max_loss_ply,deepest_position
3,405,30,13,0,3,2,0,wK a1 wQ a2 bK c1 bR a3
4,5376,1249,165,5,39,20,2,wK a1 wQ b2 bK d3 bR c4
5,39375,13778,478,31,33,17,12,wK a1 wQ a3 bK c2 bR b3
6,174960,80477,1539,157,45,23,24,wK a1 wQ f1 bK c2 bR b4
7,648270,334420,4035,643,57,29,32,wK a1 wQ g3 bK c2 bR d3
8,1892352,1108111,8963,2142,69,35,36,wK a1 wQ h1 bK c2 bR c4
9,5051970,3122552,17929,5977,87,44,40,wK b1 wQ c1 bK d7 bR b9
10,11700000,7783484,32677,14397,107,54,44,wK a1 wQ a3 bK h4 bR j1
11,25694955,17626689,56011,31121,137,69,48,wK a1 wQ c1 bK h5 bR a11
12,51321600,36941477,90525,61439,169,85,54,wK a1 wQ c1 bK f3 bR a12
13,98963865,72638416,140617,113336,215,108,58,wK b1 wQ f1 bK g9 bR b13
14,178288656,135378939,209791,196985,263,132,62,wK b1 wQ c1 bK j6 bR b14
15,313267500,241074262,304483,327083,435,218,68,wK a1 wQ c1 bK j7 bR a15
16,522977280,303075513,110091285,520896,331,166,72,wK e1 wQ o10 bK g12 bR m1
17,856925460,501006975,182452382,802887,231,116,78,wK f1 wQ j1 bK a8 bR l8
