n,king_pairs,entries_per_side,max_dtm_plies,mate_in,law_14*floor(n/6)+c(n%6),agrees
3,5,45,5,3,5,no
4,21,336,13,7,7,yes
5,63,1575,19,10,10,yes
6,135,4860,23,12,11,no
7,270,13230,27,14,14,yes
8,462,29568,31,16,16,yes
9,770,62370,35,18,19,no
10,1170,117000,41,21,21,yes
11,1755,212355,45,23,24,no
12,2475,356400,49,25,25,yes
13,3465,585585,55,28,28,yes
14,4641,909636,59,30,30,yes
15,6188,1392300,65,33,33,yes
16,7980,2042880,69,35,35,yes
17,10260,2965140,75,38,38,yes
18,12852,4164048,77,39,39,yes
19,16065,5799465,83,42,42,yes
20,19665,7866000,87,44,44,yes
21,24035,10599435,93,47,47,yes
22,28875,13975500,97,49,49,yes
23,34650,18329850,103,52,52,yes
24,40986,23607936,107,54,53,no
25,48438,30273750,111,56,56,yes
26,56550,38227800,115,58,58,yes
27,65975,48095775,121,61,61,yes
28,76167,59714928,125,63,63,yes
29,87885,73911285,131,66,66,yes
30,100485,90436500,133,67,67,yes
31,114840,110361240,139,70,70,yes
32,130200,133324800,143,72,72,yes
33,147560,160692840,149,75,75,yes
34,166056,191960736,153,77,77,yes
35,186813,228845925,159,80,80,yes
36,208845,270663120,161,81,81,yes
37,233415,319545135,167,84,84,yes
38,259407,374583708,171,86,86,yes
39,288230,438397830,177,89,89,yes
40,318630,509808000,181,91,91,yes
41,352170,591997770,187,94,94,yes
42,387450,683461800,189,95,95,yes
43,426195,788034555,195,98,98,yes
44,466851,903823536,199,100,100,yes
45,511313,1035408825,205,103,103,yes
46,557865,1180442340,209,105,105,yes
47,608580,1344353220,215,108,108,yes
48,661572,1524261888,217,109,109,yes
49,719100,1726559100,223,112,112,yes
50,779100,1947750000,227,114,114,yes
