n,king_triples,btm_black_wins,btm_black_win_pct,deepest_ply,deepest_moves,wtm_draws,seconds,all_won
3,38,252,100.0,3,2,88,0.00,yes
4,219,1680,100.0,9,5,672,0.00,yes
5,904,6900,100.0,17,9,2352,0.00,yes
6,2715,21420,100.0,21,11,5920,0.00,yes
7,7038,55272,100.0,27,14,12360,0.01,yes
8,15722,124992,100.0,33,17,22848,0.03,yes
9,32288,255960,100.0,45,23,38752,0.09,yes
10,60840,485100,100.0,55,28,61632,0.18,yes
11,108550,863940,100.0,69,35,93240,0.43,yes
12,183117,1462032,100.0,81,41,135520,0.77,yes
13,297288,2370732,100.0,99,50,190608,1.66,yes
14,464009,3707340,100.0,123,62,260832,3.21,yes
15,703934,392748,7.0,73,37,5605528,4.08,no
16,1037220,501152,6.0,73,37,8276788,5.86,no
17,1495168,633180,5.3,73,37,11930216,9.83,no
18,2107422,792368,4.7,73,37,16835384,15.21,no
19,2919078,981432,4.2,73,37,23314204,25.75,no
20,3971855,1203720,3.8,73,37,31746756,30.48,no
21,5328200,1462904,3.4,73,37,42578108,39.61,no
22,7044807,1762848,3.1,73,37,56325352,47.14,no
