n,king_pairs,entries_per_side,max_dtm_plies,mate_in,formula_ceil_3(n-2)/2,agrees
3,5,45,1,1,2,no
4,21,336,7,4,3,no
5,63,1575,11,6,5,no
6,135,4860,13,7,6,no
7,270,13230,15,8,8,yes
8,462,29568,19,10,9,no
9,770,62370,21,11,11,yes
10,1170,117000,23,12,12,yes
11,1755,212355,27,14,14,yes
12,2475,356400,29,15,15,yes
13,3465,585585,33,17,17,yes
14,4641,909636,35,18,18,yes
15,6188,1392300,39,20,20,yes
16,7980,2042880,41,21,21,yes
17,10260,2965140,45,23,23,yes
18,12852,4164048,47,24,24,yes
19,16065,5799465,51,26,26,yes
20,19665,7866000,53,27,27,yes
21,24035,10599435,57,29,29,yes
22,28875,13975500,59,30,30,yes
23,34650,18329850,63,32,32,yes
24,40986,23607936,65,33,33,yes
25,48438,30273750,69,35,35,yes
26,56550,38227800,71,36,36,yes
27,65975,48095775,75,38,38,yes
28,76167,59714928,77,39,39,yes
29,87885,73911285,81,41,41,yes
30,100485,90436500,83,42,42,yes
31,114840,110361240,87,44,44,yes
32,130200,133324800,89,45,45,yes
33,147560,160692840,93,47,47,yes
34,166056,191960736,95,48,48,yes
35,186813,228845925,99,50,50,yes
36,208845,270663120,101,51,51,yes
40,318630,509808000,113,57,57,yes
48,661572,1524261888,137,69,69,yes
56,1226610,3846648960,161,81,81,yes
60,1616895,5820822000,173,87,87,yes
