endgame,n,positions,wtm_white_wins,wtm_draws,wtm_black_wins,btm_white_wins,btm_draws,btm_black_wins,deepest_white_ply,quiet_placements,quiet_wtm_white_wins,quiet_btm_white_wins,seconds,note
KQvN,3,504,504,0,0,448,56,0,3,0,0,0,0.00,ordered white pairs
KQvN,4,3360,3360,0,0,3120,240,0,3,308,308,308,0.00,ordered white pairs
KQvN,5,13800,13800,0,0,12272,1528,0,5,2760,2760,2760,0.00,ordered white pairs
KQvN,6,42840,42840,0,0,38544,4296,0,7,12872,12872,12872,0.01,ordered white pairs
KQvN,7,110544,110544,0,0,101000,9544,0,7,42776,42776,42776,0.02,ordered white pairs
KQvN,8,249984,249984,0,0,231608,18376,0,9,114756,114756,114756,0.05,ordered white pairs
KQvN,9,511920,511920,0,0,479832,32088,0,11,265528,265528,265528,0.11,ordered white pairs
KQvN,10,970200,970200,0,0,918032,52168,0,11,551240,551240,551240,0.23,ordered white pairs
KQvN,11,1727880,1727880,0,0,1647584,80296,0,13,1053192,1053192,1053192,0.46,ordered white pairs
KQvN,12,2924064,2924064,0,0,2805720,118344,0,15,1884276,1884276,1884276,0.84,ordered white pairs
KQvN,13,4741464,4741464,0,0,4573088,168376,0,15,3196136,3196136,3196136,1.52,ordered white pairs
KQvN,14,7414680,7414680,0,0,7182032,232648,0,19,5187048,5187048,5187048,2.68,ordered white pairs
QvN,3,72,72,0,0,,,,3,,,,,D4-reduced solver
QvN,4,240,240,0,0,,,,3,,,,,D4-reduced solver
QvN,5,600,600,0,0,,,,5,,,,,D4-reduced solver
QvN,6,1260,1260,0,0,,,,7,,,,,D4-reduced solver
QvN,7,2352,2352,0,0,,,,7,,,,,D4-reduced solver
QvN,8,4032,4032,0,0,,,,9,,,,,D4-reduced solver
QvN,9,6480,6480,0,0,,,,11,,,,,D4-reduced solver
QvN,10,9900,9900,0,0,,,,11,,,,,D4-reduced solver
QvN,11,14520,14520,0,0,,,,13,,,,,D4-reduced solver
QvN,12,20592,20592,0,0,,,,15,,,,,D4-reduced solver
QvN,13,28392,28392,0,0,,,,15,,,,,D4-reduced solver
QvN,14,38220,38220,0,0,,,,19,,,,,D4-reduced solver
QvN,15,50400,50400,0,0,,,,19,,,,,D4-reduced solver
QvN,16,65280,65280,0,0,,,,21,,,,,D4-reduced solver
QvN,17,83232,83232,0,0,,,,21,,,,,D4-reduced solver
QvN,18,104652,104652,0,0,,,,25,,,,,D4-reduced solver
QvN,19,129960,129960,0,0,,,,25,,,,,D4-reduced solver
QvN,20,159600,159600,0,0,,,,27,,,,,D4-reduced solver
KvN,3,72,72,0,0,,,,4,,,,,maxAbs over both stm
KvN,4,240,152,88,0,,,,8,,,,,maxAbs over both stm
KvN,5,600,184,416,0,,,,3,,,,,maxAbs over both stm
KvN,6,1260,260,1000,0,,,,3,,,,,maxAbs over both stm
KvN,7,2352,352,2000,0,,,,3,,,,,maxAbs over both stm
KvN,8,4032,460,3572,0,,,,3,,,,,maxAbs over both stm
KvN,9,6480,584,5896,0,,,,3,,,,,maxAbs over both stm
KvN,10,9900,724,9176,0,,,,3,,,,,maxAbs over both stm
KvN,11,14520,880,13640,0,,,,3,,,,,maxAbs over both stm
KvN,12,20592,1052,19540,0,,,,3,,,,,maxAbs over both stm
KvN,13,28392,1240,27152,0,,,,3,,,,,maxAbs over both stm
KvN,14,38220,1444,36776,0,,,,3,,,,,maxAbs over both stm
QRvR,3,504,504,0,0,360,144,0,5,52,52,52,0.00,ordered white pairs
QRvR,4,3360,3360,0,0,2144,1216,0,7,728,728,728,0.00,ordered white pairs
QRvR,5,13800,13800,0,0,8920,4880,0,11,4280,4280,4280,0.01,ordered white pairs
QRvR,6,42840,26320,16520,0,0,42840,0,1,16520,0,0,0.01,ordered white pairs
QRvR,7,110544,61124,49420,0,0,110544,0,1,49420,0,0,0.02,ordered white pairs
QRvR,8,249984,125552,124432,0,0,249984,0,1,124432,0,0,0.05,ordered white pairs
QRvR,9,511920,235392,276528,0,0,511920,0,1,276528,0,0,0.10,ordered white pairs
QRvR,10,970200,411240,558960,0,0,970200,0,1,558960,0,0,0.21,ordered white pairs
QRvR,11,1727880,679140,1048740,0,0,1727880,0,1,1048740,0,0,0.40,ordered white pairs
QRvR,12,2924064,1071224,1852840,0,0,2924064,0,1,1852840,0,0,0.71,ordered white pairs
RNvN,3,504,472,32,0,344,160,0,7,120,88,92,0.00,ordered white pairs
RNvN,4,3360,3360,0,0,2792,560,8,7,1128,1128,1128,0.00,ordered white pairs
RNvN,5,13800,13800,0,0,11936,1848,16,9,6080,6080,6080,0.00,ordered white pairs
RNvN,6,42840,42840,0,0,38112,4696,32,11,22464,22464,22464,0.01,ordered white pairs
RNvN,7,110544,110544,0,0,93720,16792,32,17,65320,65320,65320,0.04,ordered white pairs
RNvN,8,249984,249984,0,0,216472,33480,32,27,160936,160936,160936,0.10,ordered white pairs
RNvN,9,511920,511920,0,0,453008,58880,32,39,351288,351288,351288,0.30,ordered white pairs
RNvN,10,970200,970200,0,0,873824,96344,32,69,699200,699200,699200,1.00,ordered white pairs
RNvN,11,1727880,527584,1200296,0,21168,1706680,32,45,1294224,162264,18832,1.32,ordered white pairs
RNvN,12,2924064,750652,2173412,0,20788,2903244,32,33,2259240,191596,18676,1.81,ordered white pairs
RNvN,13,4741464,1058616,3682848,0,22208,4719224,32,39,3757776,229408,20180,3.69,ordered white pairs
RNvN,14,7414680,1463212,5951468,0,22700,7391948,32,53,6002048,268084,20820,7.86,ordered white pairs
RBvN,3,504,488,16,0,416,88,0,5,96,80,80,0.00,ordered white pairs
RBvN,4,3360,3360,0,0,2936,400,24,5,880,880,880,0.00,ordered white pairs
RBvN,5,13800,13800,0,0,12328,1448,24,7,4856,4856,4856,0.00,ordered white pairs
RBvN,6,42840,42840,0,0,38912,3928,0,11,18440,18440,18440,0.01,ordered white pairs
RBvN,7,110544,110480,64,0,94560,15984,0,15,54920,54920,54824,0.03,ordered white pairs
RBvN,8,249984,249824,160,0,217536,32448,0,19,137992,137992,137720,0.08,ordered white pairs
RBvN,9,511920,511672,248,0,454688,57232,0,25,306040,306040,305608,0.20,ordered white pairs
RBvN,10,970200,969848,352,0,876408,93792,0,31,617136,617136,616512,0.47,ordered white pairs
RBvN,11,1727880,1727408,472,0,1582552,145328,0,39,1154760,1154760,1153912,1.05,ordered white pairs
RBvN,12,2924064,2923456,608,0,2708640,215424,0,51,2034240,2034240,2033136,2.35,ordered white pairs
RBvN,13,4741464,4740704,760,0,4433416,308048,0,67,3409912,3409912,3408520,5.38,ordered white pairs
RBvN,14,7414680,7413752,928,0,6987128,427552,0,91,5483000,5483000,5481288,12.13,ordered white pairs
RBvN,15,11239200,7697332,3541868,0,5523640,5715560,0,117,8510216,5180284,4411620,28.12,ordered white pairs
RBvN,16,16581120,5320984,11260136,0,346352,16234768,0,83,12813080,2150384,285772,39.46,ordered white pairs
