n,positions,optimum_moves,policy_moves,ratio,stuck,cyclic,rule_mate,rule_search,rule_squeeze,rule_walk,rule_wait,rule_fallback
4,812,4,7,1.75,0,0,184,556,8,0,0,64
5,4976,6,8,1.33,0,0,464,2388,1908,72,16,128
6,19360,7,11,1.57,0,0,920,4652,13244,264,48,232
7,57760,8,14,1.75,0,0,1572,5540,48720,1520,64,344
8,144508,10,16,1.60,0,0,2448,5516,132928,3056,96,464
9,318752,11,19,1.73,0,0,3560,5516,301412,7536,128,600
10,639456,12,21,1.75,0,0,4944,5516,617516,10568,160,752
11,1191120,14,25,1.79,0,0,6612,5516,1158640,19224,208,920
12,2090220,15,26,1.73,0,0,8600,5516,2050312,24472,216,1104
13,3492368,17,30,1.76,0,0,10920,5516,3435140,39208,280,1304
14,5600192,18,31,1.72,0,0,13608,5516,5531748,47512,288,1520
