endgame,n,positions,wtm_white_wins,wtm_draws,wtm_black_wins,btm_white_wins,btm_draws,btm_black_wins,deepest_white_ply,deepest_black_ply,quiet_placements,quiet_wtm_white_wins,quiet_btm_white_wins,seconds
RRvR,3,252,252,0,0,144,108,0,5,0,54,54,54,0.00
RRvR,4,1680,1104,576,0,0,1680,0,1,0,576,0,0,0.00
RRvR,5,6900,3900,3000,0,0,6900,0,1,0,3000,0,0,0.00
RRvR,6,21420,10620,10800,0,0,21420,0,1,0,10800,0,0,0.00
RRvR,7,55272,24402,30870,0,0,55272,0,1,0,30870,0,0,0.00
RRvR,8,124992,49728,75264,0,0,124992,0,1,0,75264,0,0,0.00
RRvR,9,255960,92664,163296,0,0,255960,0,1,0,163296,0,0,0.01
RRvR,10,485100,161100,324000,0,0,485100,0,1,0,324000,0,0,0.02
RRvR,11,863940,264990,598950,0,0,863940,0,1,0,598950,0,0,0.03
RRvR,12,1462032,416592,1045440,0,0,1462032,0,1,0,1045440,0,0,0.06
RRvR,13,2370732,630708,1740024,0,0,2370732,0,1,0,1740024,0,0,0.11
RRvR,14,3707340,924924,2782416,0,0,3707340,0,1,0,2782416,0,0,0.16
RRvR,15,5619600,1319850,4299750,0,0,5619600,0,1,0,4299750,0,0,0.28
RRvR,16,8290560,1839360,6451200,0,0,8290560,0,1,0,6451200,0,0,0.42
RRvR,17,11943792,2510832,9432960,0,0,11943792,0,1,0,9432960,0,0,0.65
RvR,3,72,36,36,0,0,36,36,1,1,,,,
RvR,4,240,96,144,0,0,144,96,1,1,,,,
RvR,5,600,200,400,0,0,400,200,1,1,,,,
RvR,6,1260,360,900,0,0,900,360,1,1,,,,
RvR,7,2352,588,1764,0,0,1764,588,1,1,,,,
RvR,8,4032,896,3136,0,0,3136,896,1,1,,,,
RvR,9,6480,1296,5184,0,0,5184,1296,1,1,,,,
RvR,10,9900,1800,8100,0,0,8100,1800,1,1,,,,
RvR,11,14520,2420,12100,0,0,12100,2420,1,1,,,,
RvR,12,20592,3168,17424,0,0,17424,3168,1,1,,,,
RvR,13,28392,4056,24336,0,0,24336,4056,1,1,,,,
RvR,14,38220,5096,33124,0,0,33124,5096,1,1,,,,
RvR,15,50400,6300,44100,0,0,44100,6300,1,1,,,,
RvR,16,65280,7680,57600,0,0,57600,7680,1,1,,,,
RvR,17,83232,9248,73984,0,0,73984,9248,1,1,,,,
RRvN,3,252,246,6,0,224,28,0,3,0,14,8,8,0.00
RRvN,4,1680,1680,0,0,1680,0,0,5,0,244,244,244,0.00
RRvN,5,6900,6900,0,0,6900,0,0,5,0,1724,1724,1724,0.00
RRvN,6,21420,21420,0,0,21420,0,0,7,0,7292,7292,7292,0.00
RRvN,7,55272,55272,0,0,48192,7080,0,9,0,23026,23026,23026,0.00
RRvN,8,124992,124992,0,0,110012,14980,0,11,0,59972,59972,59972,0.01
RRvN,9,255960,255960,0,0,229232,26728,0,13,0,136244,136244,136244,0.02
RRvN,10,485100,485100,0,0,440904,44196,0,17,0,279484,279484,279484,0.04
RRvN,11,863940,863940,0,0,794972,68968,0,17,0,529682,529682,529682,0.08
RRvN,12,1462032,1462032,0,0,1359212,102820,0,19,0,942356,942356,942356,0.15
RvN,3,72,68,4,0,48,8,16,7,1,,,,
RvN,4,240,240,0,0,192,0,48,5,1,,,,
RvN,5,600,600,0,0,504,0,96,9,1,,,,
RvN,6,1260,1260,0,0,1100,0,160,13,1,,,,
RvN,7,2352,916,1436,0,44,2068,240,9,1,,,,
RvN,8,4032,1128,2904,0,20,3676,336,3,1,,,,
RvN,9,6480,1568,4912,0,20,6012,448,3,1,,,,
RvN,10,9900,2112,7788,0,20,9304,576,3,1,,,,
RvN,11,14520,2772,11748,0,20,13780,720,3,1,,,,
RvN,12,20592,3560,17032,0,20,19692,880,3,1,,,,
RRvB,3,252,252,0,0,224,28,0,5,0,8,8,8,0.00
RRvB,4,1680,1680,0,0,1448,232,0,7,0,204,204,204,0.00
RRvB,5,6900,6900,0,0,5284,1616,0,9,0,1444,1444,1444,0.00
RRvB,6,21420,18052,3368,0,5944,15476,0,11,0,6116,4424,2528,0.00
RRvB,7,55272,33626,21646,0,2652,52620,0,17,0,19364,5840,1316,0.01
RRvB,8,124992,53320,71672,0,312,124680,0,9,0,50664,1424,0,0.01
RRvB,9,255960,97392,158568,0,348,255612,0,9,0,115768,1860,0,0.02
RRvB,10,485100,167108,317992,0,384,484716,0,9,0,239000,2344,0,0.05
RRvB,11,863940,272422,591518,0,420,863520,0,9,0,455920,2876,0,0.10
RRvB,12,1462032,425592,1036440,0,456,1461576,0,9,0,816340,3456,0,0.17
RRvB,13,2370732,641420,1729312,0,492,2370240,0,9,0,1387708,4084,0,0.33
RRvB,14,3707340,937492,2769848,0,528,3706812,0,9,0,2258844,4760,0,0.49
